time,eventType,data
19.500000,melodyChange,E
19.500000,enemySpawn,null
20.000000,chordChange,G
20.000000,melodyChange,G
20.000000,enemySpawn,null
20.500000,chordChange,A
20.500000,melodyChange,A
20.500000,enemySpawn,null
21.000000,chordChange,C
21.000000,melodyChange,C
21.000000,enemySpawn,null
21.500000,chordChange,D
21.500000,melodyChange,D
21.500000,enemySpawn,null
22.000000,chordChange,F#
22.000000,melodyChange,F#
22.000000,enemySpawn,null
22.500000,chordChange,A
22.500000,melodyChange,A
22.500000,enemySpawn,null
23.000000,chordChange,C
23.000000,melodyChange,C
23.000000,enemySpawn,null
23.500000,chordChange,E
23.500000,melodyChange,E
23.500000,enemySpawn,null
24.000000,chordChange,G
24.000000,melodyChange,G
24.000000,enemySpawn,null
24.500000,chordChange,A
24.500000,melodyChange,A
24.500000,enemySpawn,null
25.000000,chordChange,C
25.000000,melodyChange,C
25.000000,enemySpawn,null
25.500000,chordChange,D
25.500000,melodyChange,D
25.500000,enemySpawn,null
26.000000,chordChange,F#
26.000000,melodyChange,F#
26.000000,enemySpawn,null
26.500000,chordChange,E
26.500000,melodyChange,E
26.500000,enemySpawn,null
27.000000,chordChange,A
27.000000,melodyChange,A
27.000000,enemySpawn,null
27.500000,chordChange,C
27.500000,melodyChange,C
27.500000,enemySpawn,null
28.000000,chordChange,D
28.000000,melodyChange,D
28.000000,enemySpawn,null
28.500000,chordChange,F#
28.500000,melodyChange,F#
28.500000,enemySpawn,null
29.000000,chordChange,D
29.000000,melodyChange,D
29.000000,enemySpawn,null
29.500000,chordChange,A
29.500000,melodyChange,A
29.500000,enemySpawn,null
30.000000,chordChange,B
30.000000,melodyChange,B
30.000000,enemySpawn,null
30.500000,chordChange,C
30.500000,melodyChange,C
30.500000,enemySpawn,null
31.000000,chordChange,D
31.000000,melodyChange,D
31.000000,enemySpawn,null
31.500000,chordChange,E
31.500000,melodyChange,E
31.500000,enemySpawn,null
32.000000,chordChange,G
32.000000,melodyChange,G
32.000000,enemySpawn,null
32.500000,chordChange,C
32.500000,melodyChange,C
32.500000,enemySpawn,null
33.000000,chordChange,E
33.000000,melodyChange,E
33.000000,enemySpawn,null
33.500000,chordChange,G
33.500000,melodyChange,G
33.500000,enemySpawn,null
34.000000,chordChange,B
34.000000,melodyChange,B
34.000000,enemySpawn,null
34.500000,chordChange,C
34.500000,melodyChange,C
34.500000,enemySpawn,null
35.000000,chordChange,D
35.000000,melodyChange,D
35.000000,enemySpawn,null
35.500000,chordChange,F#
35.500000,melodyChange,F#
35.500000,enemySpawn,null
36.000000,chordChange,A
36.000000,melodyChange,A
36.000000,enemySpawn,null
36.500000,chordChange,A
36.500000,enemySpawn,null
37.000000,chordChange,C
37.000000,melodyChange,C
37.000000,enemySpawn,null
37.500000,chordChange,E
37.500000,melodyChange,E
37.500000,enemySpawn,null
38.000000,chordChange,G
38.000000,melodyChange,G
38.000000,enemySpawn,null
38.500000,chordChange,A
38.500000,melodyChange,A
38.500000,enemySpawn,null
39.000000,chordChange,C
39.000000,melodyChange,C
39.000000,enemySpawn,null
39.500000,chordChange,D
39.500000,melodyChange,D
39.500000,enemySpawn,null
40.000000,chordChange,F#
40.000000,melodyChange,F#
40.000000,enemySpawn,null
40.500000,chordChange,A
40.500000,melodyChange,A
40.500000,enemySpawn,null
41.000000,chordChange,C
41.000000,melodyChange,C
41.000000,enemySpawn,null
41.500000,chordChange,E
41.500000,melodyChange,E
41.500000,enemySpawn,null
42.000000,chordChange,G
42.000000,melodyChange,G
42.000000,enemySpawn,null
42.500000,chordChange,A
42.500000,melodyChange,A
42.500000,enemySpawn,null
43.000000,chordChange,C
43.000000,melodyChange,C
43.000000,enemySpawn,null
43.500000,chordChange,D
43.500000,melodyChange,D
43.500000,enemySpawn,null
44.000000,chordChange,F#
44.000000,melodyChange,F#
44.000000,enemySpawn,null
44.500000,chordChange,E
44.500000,melodyChange,E
44.500000,enemySpawn,null
45.000000,chordChange,A
45.000000,melodyChange,A
45.000000,enemySpawn,null
45.500000,chordChange,C
45.500000,melodyChange,C
45.500000,enemySpawn,null
46.000000,chordChange,D
46.000000,melodyChange,D
46.000000,enemySpawn,null
46.500000,chordChange,F#
46.500000,melodyChange,F#
46.500000,enemySpawn,null
47.000000,chordChange,A
47.000000,melodyChange,A
47.000000,enemySpawn,null
47.500000,chordChange,B
47.500000,melodyChange,B
47.500000,enemySpawn,null
48.000000,chordChange,C
48.000000,melodyChange,C
48.000000,enemySpawn,null
48.500000,chordChange,E
48.500000,melodyChange,E
48.500000,enemySpawn,null
49.000000,chordChange,G
49.000000,melodyChange,G
49.000000,enemySpawn,null
49.500000,chordChange,B
49.500000,melodyChange,B
49.500000,enemySpawn,null
50.000000,chordChange,A
50.000000,melodyChange,A
50.000000,enemySpawn,null
50.500000,chordChange,G
50.500000,melodyChange,G
50.500000,enemySpawn,null
51.000000,chordChange,A
51.000000,melodyChange,A
51.000000,enemySpawn,null
51.500000,chordChange,A
51.500000,enemySpawn,null
52.000000,chordChange,G
52.000000,melodyChange,G
52.000000,enemySpawn,null
52.500000,chordChange,F#
52.500000,melodyChange,F#
52.500000,enemySpawn,null
53.000000,chordChange,E
53.000000,melodyChange,E
53.000000,enemySpawn,null
53.500000,chordChange,F#
53.500000,melodyChange,F#
53.500000,enemySpawn,null
54.000000,chordChange,F#
54.000000,enemySpawn,null
54.500000,chordChange,E
54.500000,melodyChange,E
54.500000,enemySpawn,null
55.000000,chordChange,D
55.000000,melodyChange,D
55.000000,enemySpawn,null
55.500000,chordChange,C
55.500000,melodyChange,C
55.500000,enemySpawn,null
56.000000,chordChange,D
56.000000,melodyChange,D
56.000000,enemySpawn,null
56.500000,chordChange,D
56.500000,enemySpawn,null
57.000000,chordChange,F#
57.000000,melodyChange,F#
57.000000,enemySpawn,null
57.500000,chordChange,A#
57.500000,melodyChange,A#
57.500000,enemySpawn,null
58.000000,chordChange,D
58.000000,melodyChange,D
58.000000,enemySpawn,null
58.500000,chordChange,D
58.500000,enemySpawn,null
59.000000,chordChange,E
59.000000,melodyChange,E
59.000000,enemySpawn,null
59.500000,chordChange,G
59.500000,melodyChange,G
59.500000,enemySpawn,null
60.000000,chordChange,D
60.000000,melodyChange,D
60.000000,enemySpawn,null
60.500000,chordChange,E
60.500000,melodyChange,E
60.500000,enemySpawn,null
61.000000,chordChange,G
61.000000,melodyChange,G
61.000000,enemySpawn,null
61.500000,chordChange,A
61.500000,melodyChange,A
61.500000,enemySpawn,null
62.000000,chordChange,B
62.000000,melodyChange,B
62.000000,enemySpawn,null
62.500000,chordChange,D
62.500000,melodyChange,D
62.500000,enemySpawn,null
63.000000,chordChange,C
63.000000,melodyChange,C
63.000000,enemySpawn,null
63.500000,chordChange,B
63.500000,melodyChange,B
63.500000,enemySpawn,null
64.000000,chordChange,A
64.000000,melodyChange,A
64.000000,enemySpawn,null
64.500000,chordChange,G
64.500000,melodyChange,G
64.500000,enemySpawn,null
65.000000,chordChange,B
65.000000,melodyChange,B
65.000000,enemySpawn,null
65.500000,chordChange,D
65.500000,melodyChange,D
65.500000,enemySpawn,null
66.000000,chordChange,C
66.000000,melodyChange,C
66.000000,enemySpawn,null
66.500000,chordChange,B
66.500000,melodyChange,B
66.500000,enemySpawn,null
67.000000,chordChange,A
67.000000,melodyChange,A
67.000000,enemySpawn,null
67.500000,chordChange,G
67.500000,melodyChange,G
67.500000,enemySpawn,null
68.000000,chordChange,F#
68.000000,melodyChange,F#
68.000000,enemySpawn,null
68.500000,chordChange,G
68.500000,melodyChange,G
68.500000,enemySpawn,null
69.000000,chordChange,A
69.000000,melodyChange,A
69.000000,enemySpawn,null
69.500000,chordChange,C
69.500000,melodyChange,C
69.500000,enemySpawn,null
70.000000,chordChange,E
70.000000,melodyChange,E
70.000000,enemySpawn,null
70.500000,chordChange,D#
70.500000,melodyChange,D#
70.500000,enemySpawn,null
71.000000,chordChange,D#
71.000000,enemySpawn,null
71.500000,chordChange,F#
71.500000,melodyChange,F#
71.500000,enemySpawn,null
72.000000,chordChange,D#
72.000000,melodyChange,D#
72.000000,enemySpawn,null
72.500000,chordChange,C
72.500000,melodyChange,C
72.500000,enemySpawn,null
73.000000,chordChange,B
73.000000,melodyChange,B
73.000000,enemySpawn,null
73.500000,chordChange,A
73.500000,melodyChange,A
73.500000,enemySpawn,null
74.000000,chordChange,G
74.000000,melodyChange,G
74.000000,enemySpawn,null
74.500000,chordChange,F#
74.500000,melodyChange,F#
74.500000,enemySpawn,null
75.000000,chordChange,G
75.000000,melodyChange,G
75.000000,enemySpawn,null
75.500000,chordChange,B
75.500000,melodyChange,B
75.500000,enemySpawn,null
76.000000,chordChange,A
76.000000,melodyChange,A
76.000000,enemySpawn,null
76.500000,chordChange,G
76.500000,melodyChange,G
76.500000,enemySpawn,null
77.000000,chordChange,F#
77.000000,melodyChange,F#
77.000000,enemySpawn,null
77.500000,chordChange,E
77.500000,melodyChange,E
77.500000,enemySpawn,null
78.000000,chordChange,G
78.000000,melodyChange,G
78.000000,enemySpawn,null
78.500000,chordChange,B
78.500000,melodyChange,B
78.500000,enemySpawn,null
79.000000,chordChange,A
79.000000,melodyChange,A
79.000000,enemySpawn,null
79.500000,chordChange,G
79.500000,melodyChange,G
79.500000,enemySpawn,null
80.000000,chordChange,F#
80.000000,melodyChange,F#
80.000000,enemySpawn,null
80.500000,chordChange,A#
80.500000,melodyChange,A#
80.500000,enemySpawn,null
81.000000,chordChange,G#
81.000000,melodyChange,G#
81.000000,enemySpawn,null
81.500000,chordChange,F#
81.500000,melodyChange,F#
81.500000,enemySpawn,null
82.000000,chordChange,F
82.000000,melodyChange,F
82.000000,enemySpawn,null
82.500000,chordChange,A
82.500000,melodyChange,A
82.500000,enemySpawn,null
83.000000,chordChange,C
83.000000,melodyChange,C
83.000000,enemySpawn,null
83.500000,chordChange,E
83.500000,melodyChange,E
83.500000,enemySpawn,null
84.000000,chordChange,C#
84.000000,melodyChange,C#
84.000000,enemySpawn,null
84.500000,chordChange,D
84.500000,melodyChange,D
84.500000,enemySpawn,null
85.000000,chordChange,G
85.000000,melodyChange,G
85.000000,enemySpawn,null
85.500000,chordChange,G
85.500000,enemySpawn,null
86.000000,chordChange,F
86.000000,melodyChange,F
86.000000,enemySpawn,null
86.500000,chordChange,D#
86.500000,melodyChange,D#
86.500000,enemySpawn,null
87.000000,chordChange,C#
87.000000,melodyChange,C#
87.000000,enemySpawn,null
87.500000,chordChange,B
87.500000,melodyChange,B
87.500000,enemySpawn,null
88.000000,chordChange,A
88.000000,melodyChange,A
88.000000,enemySpawn,null
88.500000,chordChange,G
88.500000,melodyChange,G
88.500000,enemySpawn,null
89.000000,chordChange,F
89.000000,melodyChange,F
89.000000,enemySpawn,null
89.500000,chordChange,E
89.500000,melodyChange,E
89.500000,enemySpawn,null
90.000000,chordChange,B
90.000000,melodyChange,B
90.000000,enemySpawn,null
90.500000,chordChange,C
90.500000,melodyChange,C
90.500000,enemySpawn,null
91.000000,chordChange,E
91.000000,melodyChange,E
91.000000,enemySpawn,null
91.500000,chordChange,G
91.500000,melodyChange,G
91.500000,enemySpawn,null
92.000000,chordChange,B
92.000000,melodyChange,B
92.000000,enemySpawn,null
92.500000,chordChange,A
92.500000,melodyChange,A
92.500000,enemySpawn,null
93.000000,chordChange,D
93.000000,melodyChange,D
93.000000,enemySpawn,null
93.500000,chordChange,D
93.500000,enemySpawn,null
94.000000,chordChange,A
94.000000,melodyChange,A
94.000000,enemySpawn,null
94.500000,chordChange,A
94.500000,enemySpawn,null
95.000000,chordChange,D
95.000000,melodyChange,D
95.000000,enemySpawn,null
95.500000,chordChange,A
95.500000,melodyChange,A
95.500000,enemySpawn,null
96.000000,chordChange,D
96.000000,melodyChange,D
96.000000,enemySpawn,null
96.500000,chordChange,F#
96.500000,melodyChange,F#
96.500000,enemySpawn,null
97.000000,chordChange,A
97.000000,melodyChange,A
97.000000,enemySpawn,null
97.500000,chordChange,D
97.500000,melodyChange,D
97.500000,enemySpawn,null
98.000000,chordChange,F#
98.000000,melodyChange,F#
98.000000,enemySpawn,null
98.500000,chordChange,A
98.500000,melodyChange,A
98.500000,enemySpawn,null
99.000000,chordChange,F#
99.000000,melodyChange,F#
99.000000,enemySpawn,null
99.500000,chordChange,G
99.500000,melodyChange,G
99.500000,enemySpawn,null
100.000000,chordChange,B
100.000000,melodyChange,B
100.000000,enemySpawn,null
100.500000,chordChange,A
100.500000,melodyChange,A
100.500000,enemySpawn,null
101.000000,chordChange,G
101.000000,melodyChange,G
101.000000,enemySpawn,null
101.500000,chordChange,F#
101.500000,melodyChange,F#
101.500000,enemySpawn,null
102.000000,chordChange,A
102.000000,melodyChange,A
102.000000,enemySpawn,null
102.500000,chordChange,G
102.500000,melodyChange,G
102.500000,enemySpawn,null
103.000000,chordChange,F#
103.000000,melodyChange,F#
103.000000,enemySpawn,null
103.500000,chordChange,E
103.500000,melodyChange,E
103.500000,enemySpawn,null
104.000000,chordChange,G
104.000000,melodyChange,G
104.000000,enemySpawn,null
104.500000,chordChange,F#
104.500000,melodyChange,F#
104.500000,enemySpawn,null
105.000000,chordChange,E
105.000000,melodyChange,E
105.000000,enemySpawn,null
105.500000,chordChange,D#
105.500000,melodyChange,D#
105.500000,enemySpawn,null
106.000000,chordChange,F#
106.000000,melodyChange,F#
106.000000,enemySpawn,null
106.500000,chordChange,E
106.500000,melodyChange,E
106.500000,enemySpawn,null
107.000000,chordChange,D#
107.000000,melodyChange,D#
107.000000,enemySpawn,null
107.500000,chordChange,C#
107.500000,melodyChange,C#
107.500000,enemySpawn,null
108.000000,chordChange,E
108.000000,melodyChange,E
108.000000,enemySpawn,null
108.500000,chordChange,D#
108.500000,melodyChange,D#
108.500000,enemySpawn,null
109.000000,chordChange,C#
109.000000,melodyChange,C#
109.000000,enemySpawn,null
109.500000,chordChange,B
109.500000,melodyChange,B
109.500000,enemySpawn,null
110.000000,chordChange,D#
110.000000,melodyChange,D#
110.000000,enemySpawn,null
110.500000,chordChange,C#
110.500000,melodyChange,C#
110.500000,enemySpawn,null
111.000000,chordChange,B
111.000000,melodyChange,B
111.000000,enemySpawn,null
111.500000,chordChange,A
111.500000,melodyChange,A
111.500000,enemySpawn,null
112.000000,chordChange,G#
112.000000,melodyChange,G#
112.000000,enemySpawn,null
112.500000,chordChange,A
112.500000,melodyChange,A
112.500000,enemySpawn,null
113.000000,chordChange,C
113.000000,melodyChange,C
113.000000,enemySpawn,null
113.500000,chordChange,E
113.500000,melodyChange,E
113.500000,enemySpawn,null
114.000000,chordChange,G
114.000000,melodyChange,G
114.000000,enemySpawn,null
114.500000,chordChange,F#
114.500000,melodyChange,F#
114.500000,enemySpawn,null
115.000000,chordChange,F#
115.000000,enemySpawn,null
115.500000,chordChange,F
115.500000,melodyChange,F
115.500000,enemySpawn,null
116.000000,chordChange,E
116.000000,melodyChange,E
116.000000,enemySpawn,null
116.500000,chordChange,D#
116.500000,melodyChange,D#
116.500000,enemySpawn,null
117.000000,chordChange,D
117.000000,melodyChange,D
117.000000,enemySpawn,null
117.500000,chordChange,C
117.500000,melodyChange,C
117.500000,enemySpawn,null
118.000000,chordChange,E
118.000000,melodyChange,E
118.000000,enemySpawn,null
118.500000,chordChange,G
118.500000,melodyChange,G
118.500000,enemySpawn,null
119.000000,chordChange,D
119.000000,melodyChange,D
119.000000,enemySpawn,null
119.500000,chordChange,B
119.500000,melodyChange,B
119.500000,enemySpawn,null
120.000000,chordChange,C
120.000000,melodyChange,C
120.000000,enemySpawn,null
120.500000,chordChange,D
120.500000,melodyChange,D
120.500000,enemySpawn,null
121.000000,chordChange,D#
121.000000,melodyChange,D#
121.000000,enemySpawn,null
121.500000,chordChange,A#
121.500000,melodyChange,A#
121.500000,enemySpawn,null
122.000000,chordChange,G
122.000000,melodyChange,G
122.000000,enemySpawn,null
122.500000,chordChange,A
122.500000,melodyChange,A
122.500000,enemySpawn,null
123.000000,chordChange,A
123.000000,enemySpawn,null
123.500000,chordChange,F
123.500000,melodyChange,F
123.500000,enemySpawn,null
124.000000,chordChange,G
124.000000,melodyChange,G
124.000000,enemySpawn,null
124.500000,chordChange,A
124.500000,melodyChange,A
124.500000,enemySpawn,null
125.000000,chordChange,C
125.000000,melodyChange,C
125.000000,enemySpawn,null
125.500000,chordChange,A
125.500000,melodyChange,A
125.500000,enemySpawn,null
126.000000,chordChange,G
126.000000,melodyChange,G
126.000000,enemySpawn,null
126.500000,chordChange,F
126.500000,melodyChange,F
126.500000,enemySpawn,null
127.000000,chordChange,D
127.000000,melodyChange,D
127.000000,enemySpawn,null
127.500000,chordChange,A
127.500000,melodyChange,A
127.500000,enemySpawn,null
128.000000,chordChange,F
128.000000,melodyChange,F
128.000000,enemySpawn,null
128.500000,chordChange,G
128.500000,melodyChange,G
128.500000,enemySpawn,null
129.000000,chordChange,G
129.000000,enemySpawn,null
129.500000,chordChange,F
129.500000,melodyChange,F
129.500000,enemySpawn,null
130.000000,chordChange,G
130.000000,melodyChange,G
130.000000,enemySpawn,null
130.500000,chordChange,A#
130.500000,melodyChange,A#
130.500000,enemySpawn,null
131.000000,chordChange,F
131.000000,melodyChange,F
131.000000,enemySpawn,null
131.500000,chordChange,G
131.500000,melodyChange,G
131.500000,enemySpawn,null
132.000000,chordChange,A#
132.000000,melodyChange,A#
132.000000,enemySpawn,null
132.500000,chordChange,D
132.500000,melodyChange,D
132.500000,enemySpawn,null
133.000000,chordChange,F
133.000000,melodyChange,F
133.000000,enemySpawn,null
133.500000,chordChange,C
133.500000,melodyChange,C
133.500000,enemySpawn,null
134.000000,chordChange,A
134.000000,melodyChange,A
134.000000,enemySpawn,null
134.500000,chordChange,B
134.500000,melodyChange,B
134.500000,enemySpawn,null
135.000000,chordChange,B
135.000000,enemySpawn,null
135.500000,chordChange,G
135.500000,melodyChange,G
135.500000,enemySpawn,null
136.000000,chordChange,A
136.000000,melodyChange,A
136.000000,enemySpawn,null
136.500000,chordChange,B
136.500000,melodyChange,B
136.500000,enemySpawn,null
137.000000,chordChange,D
137.000000,melodyChange,D
137.000000,enemySpawn,null
137.500000,chordChange,B
137.500000,melodyChange,B
137.500000,enemySpawn,null
138.000000,chordChange,A
138.000000,melodyChange,A
138.000000,enemySpawn,null
138.500000,chordChange,G
138.500000,melodyChange,G
138.500000,enemySpawn,null
139.000000,chordChange,E
139.000000,melodyChange,E
139.000000,enemySpawn,null
139.500000,chordChange,B
139.500000,melodyChange,B
139.500000,enemySpawn,null
140.000000,chordChange,G
140.000000,melodyChange,G
140.000000,enemySpawn,null
140.500000,chordChange,A
140.500000,melodyChange,A
140.500000,enemySpawn,null
141.000000,chordChange,A
141.000000,enemySpawn,null
141.500000,chordChange,G
141.500000,melodyChange,G
141.500000,enemySpawn,null
142.000000,chordChange,A
142.000000,melodyChange,A
142.000000,enemySpawn,null
142.500000,chordChange,C
142.500000,melodyChange,C
142.500000,enemySpawn,null
143.000000,chordChange,G
143.000000,melodyChange,G
143.000000,enemySpawn,null
143.500000,chordChange,A
143.500000,melodyChange,A
143.500000,enemySpawn,null
144.000000,chordChange,C
144.000000,melodyChange,C
144.000000,enemySpawn,null
144.500000,chordChange,E
144.500000,melodyChange,E
144.500000,enemySpawn,null
145.000000,chordChange,G
145.000000,melodyChange,G
145.000000,enemySpawn,null
145.500000,chordChange,E
145.500000,melodyChange,E
145.500000,enemySpawn,null
146.000000,chordChange,B
146.000000,melodyChange,B
146.000000,enemySpawn,null
146.500000,chordChange,C#
146.500000,melodyChange,C#
146.500000,enemySpawn,null
147.000000,chordChange,C#
147.000000,enemySpawn,null
147.500000,chordChange,A
147.500000,melodyChange,A
147.500000,enemySpawn,null
148.000000,chordChange,C#
148.000000,melodyChange,C#
148.000000,enemySpawn,null
148.500000,chordChange,E
148.500000,melodyChange,E
148.500000,enemySpawn,null
149.000000,chordChange,A
149.000000,melodyChange,A
149.000000,enemySpawn,null
149.500000,chordChange,G
149.500000,melodyChange,G
149.500000,enemySpawn,null
150.000000,chordChange,F#
150.000000,melodyChange,F#
150.000000,enemySpawn,null
150.500000,chordChange,E
150.500000,melodyChange,E
150.500000,enemySpawn,null
151.000000,chordChange,F#
151.000000,melodyChange,F#
151.000000,enemySpawn,null
151.500000,chordChange,C#
151.500000,melodyChange,C#
151.500000,enemySpawn,null
152.000000,chordChange,A
152.000000,melodyChange,A
152.000000,enemySpawn,null
152.500000,chordChange,B
152.500000,melodyChange,B
152.500000,enemySpawn,null
153.000000,chordChange,B
153.000000,enemySpawn,null
153.500000,chordChange,G
153.500000,melodyChange,G
153.500000,enemySpawn,null
154.000000,chordChange,B
154.000000,melodyChange,B
154.000000,enemySpawn,null
154.500000,chordChange,D
154.500000,melodyChange,D
154.500000,enemySpawn,null
155.000000,chordChange,G
155.000000,melodyChange,G
155.000000,enemySpawn,null
155.500000,chordChange,F
155.500000,melodyChange,F
155.500000,enemySpawn,null
156.000000,chordChange,E
156.000000,melodyChange,E
156.000000,enemySpawn,null
156.500000,chordChange,D
156.500000,melodyChange,D
156.500000,enemySpawn,null
157.000000,chordChange,E
157.000000,melodyChange,E
157.000000,enemySpawn,null
157.500000,chordChange,B
157.500000,melodyChange,B
157.500000,enemySpawn,null
158.000000,chordChange,G
158.000000,melodyChange,G
158.000000,enemySpawn,null
158.500000,chordChange,A
158.500000,melodyChange,A
158.500000,enemySpawn,null
159.000000,chordChange,A
159.000000,enemySpawn,null
159.500000,chordChange,F
159.500000,melodyChange,F
159.500000,enemySpawn,null
160.000000,chordChange,A
160.000000,melodyChange,A
160.000000,enemySpawn,null
160.500000,chordChange,C
160.500000,melodyChange,C
160.500000,enemySpawn,null
161.000000,chordChange,F
161.000000,melodyChange,F
161.000000,enemySpawn,null
161.500000,chordChange,D#
161.500000,melodyChange,D#
161.500000,enemySpawn,null
162.000000,chordChange,D
162.000000,melodyChange,D
162.000000,enemySpawn,null
162.500000,chordChange,C
162.500000,melodyChange,C
162.500000,enemySpawn,null
163.000000,chordChange,D
163.000000,melodyChange,D
163.000000,enemySpawn,null
163.500000,chordChange,F
163.500000,melodyChange,F
163.500000,enemySpawn,null
164.000000,chordChange,G
164.000000,melodyChange,G
164.000000,enemySpawn,null
164.500000,chordChange,A
164.500000,melodyChange,A
164.500000,enemySpawn,null
165.000000,chordChange,C
165.000000,melodyChange,C
165.000000,enemySpawn,null
165.500000,chordChange,D
165.500000,melodyChange,D
165.500000,enemySpawn,null
166.000000,chordChange,E
166.000000,melodyChange,E
166.000000,enemySpawn,null
166.500000,chordChange,E
166.500000,enemySpawn,null
167.000000,chordChange,G
167.000000,melodyChange,G
167.000000,enemySpawn,null
167.500000,chordChange,F#
167.500000,melodyChange,F#
167.500000,enemySpawn,null
168.000000,chordChange,D
168.000000,melodyChange,D
168.000000,enemySpawn,null
168.500000,chordChange,C
168.500000,melodyChange,C
168.500000,enemySpawn,null
169.000000,chordChange,A
169.000000,melodyChange,A
169.000000,enemySpawn,null
169.500000,chordChange,F#
169.500000,melodyChange,F#
169.500000,enemySpawn,null
170.000000,chordChange,D
170.000000,melodyChange,D
170.000000,enemySpawn,null
170.500000,chordChange,E
170.500000,melodyChange,E
170.500000,enemySpawn,null
171.000000,chordChange,G
171.000000,melodyChange,G
171.000000,enemySpawn,null
171.500000,chordChange,F#
171.500000,melodyChange,F#
171.500000,enemySpawn,null
172.000000,chordChange,E
172.000000,melodyChange,E
172.000000,enemySpawn,null
172.500000,chordChange,D#
172.500000,melodyChange,D#
172.500000,enemySpawn,null
173.000000,chordChange,A#
173.000000,melodyChange,A#
173.000000,enemySpawn,null
173.500000,chordChange,G
173.500000,melodyChange,G
173.500000,enemySpawn,null
174.000000,chordChange,D#
174.000000,melodyChange,D#
174.000000,enemySpawn,null
174.500000,chordChange,D
174.500000,melodyChange,D
174.500000,enemySpawn,null
175.000000,chordChange,D#
175.000000,melodyChange,D#
175.000000,enemySpawn,null
175.500000,chordChange,E
175.500000,melodyChange,E
175.500000,enemySpawn,null
176.000000,chordChange,F
176.000000,melodyChange,F
176.000000,enemySpawn,null
176.500000,chordChange,F#
176.500000,melodyChange,F#
176.500000,enemySpawn,null
177.000000,chordChange,B
177.000000,melodyChange,B
177.000000,enemySpawn,null
177.500000,chordChange,G
177.500000,melodyChange,G
177.500000,enemySpawn,null
178.000000,chordChange,D
178.000000,melodyChange,D
178.000000,enemySpawn,null
178.500000,chordChange,A
178.500000,melodyChange,A
178.500000,enemySpawn,null
179.000000,chordChange,B
179.000000,melodyChange,B
179.000000,enemySpawn,null
179.500000,chordChange,C
179.500000,melodyChange,C
179.500000,enemySpawn,null
180.000000,chordChange,D
180.000000,melodyChange,D
180.000000,enemySpawn,null
180.500000,chordChange,E
180.500000,melodyChange,E
